Woche;Event;Spieltyp;Spielort;TS Einsatz;TS vor dem Spiel;TS nach dem Spiel;TI;FQ;Sportpsychologe;Mittelfeld Heimspiel PIN;Mittelfeld Heimspiel PIC;Mittelfeld Heimspiel MOTS;Mittelfeld Auswärts-Derby PIN;Mittelfeld Auswärts-Derby PIC;Mittelfeld Auswärts-Derby MOTS;Mittelfeld Auswärts PIN;Mittelfeld Auswärts PIC;Mittelfeld Auswärts MOTS;Mittelfeld beim Spiel;Gegner
15;103;;;;5.57;5.57;100;7;0;11.53;9.68;12.90;10.72;9.00;12.00;9.62;8.07;10.76;9.62;-
15;104;;;;5.54;5.54;100;7;0;11.51;9.66;12.88;10.70;8.98;11.98;9.60;8.06;10.74;9.60;-
15;105;;;;5.51;5.51;100;7;0;11.49;9.64;12.86;10.68;8.97;11.96;9.58;8.04;10.72;9.58;-
15;106;;;;5.49;5.49;100;7;0;11.47;9.63;12.83;10.66;8.95;11.94;9.56;8.03;10.71;9.56;-
16;107;;;;5.46;5.46;100;7;0;11.45;9.61;12.81;10.65;8.94;11.92;9.55;8.02;10.69;9.55;-
16;108;;;;5.44;5.44;100;7;0;11.43;9.59;12.79;10.63;8.92;11.90;9.53;8.00;10.67;9.53;-
16;109;;;;5.42;5.42;100;7;0;11.41;9.58;12.77;10.61;8.91;11.88;9.52;7.99;10.65;9.52;-
16;110;;;;5.40;5.40;100;7;0;11.40;9.57;12.76;10.60;8.90;11.86;9.51;7.98;10.64;9.51;-
16;111;;;;5.38;5.38;100;7;0;11.38;9.55;12.74;10.58;8.88;11.85;9.49;7.97;10.63;9.49;-
16;112;;;;5.36;5.36;100;7;0;11.37;9.54;12.72;10.57;8.87;11.83;9.48;7.96;10.61;9.48;-
16;113;;;;5.34;5.34;100;7;0;11.35;9.53;12.71;10.56;8.86;11.82;9.47;7.95;10.60;9.47;-
17;114;;;;5.32;5.32;100;7;0;11.34;9.52;12.69;10.55;8.85;11.80;9.46;7.94;10.59;9.46;-
